CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
6.46%,218.2MiB / 1.941GiB,10.98%,1.52MB / 2.62MB,387MB / 16.4kB,47
1.84%,218.2MiB / 1.941GiB,10.98%,1.53MB / 2.63MB,387MB / 16.4kB,47
2.27%,217.8MiB / 1.941GiB,10.96%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.58%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.51%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.62%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.48%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.44%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.42%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.54%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.74%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
0.52%,217.6MiB / 1.941GiB,10.95%,1.54MB / 2.64MB,387MB / 16.4kB,47
