CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
10.51%,201.6MiB / 1.941GiB,10.14%,34.5MB / 15MB,137MB / 16.4kB,44
12.52%,200.3MiB / 1.941GiB,10.08%,35.3MB / 15.4MB,139MB / 16.4kB,44
0.54%,200.7MiB / 1.941GiB,10.10%,35.6MB / 15.5MB,145MB / 16.4kB,44
4.28%,201.2MiB / 1.941GiB,10.13%,36.8MB / 16MB,147MB / 16.4kB,44
0.42%,200.3MiB / 1.941GiB,10.08%,37.5MB / 16.3MB,147MB / 16.4kB,44
7.90%,201.1MiB / 1.941GiB,10.12%,37.9MB / 16.5MB,149MB / 16.4kB,44
12.09%,200.5MiB / 1.941GiB,10.09%,39MB / 17MB,149MB / 16.4kB,44
6.94%,201.3MiB / 1.941GiB,10.13%,39.5MB / 17.2MB,151MB / 16.4kB,44
7.49%,202.1MiB / 1.941GiB,10.17%,40MB / 17.4MB,153MB / 16.4kB,44
15.99%,201.7MiB / 1.941GiB,10.15%,41.6MB / 18.1MB,173MB / 16.4kB,44
6.59%,199.4MiB / 1.941GiB,10.04%,41.9MB / 18.2MB,176MB / 16.4kB,44
17.36%,201MiB / 1.941GiB,10.12%,42.9MB / 18.6MB,182MB / 16.4kB,44
4.49%,202.1MiB / 1.941GiB,10.17%,44.1MB / 19.2MB,195MB / 16.4kB,44
3.85%,199.8MiB / 1.941GiB,10.05%,44.3MB / 19.2MB,196MB / 16.4kB,44
12.56%,201.7MiB / 1.941GiB,10.15%,45.2MB / 19.6MB,203MB / 16.4kB,44
10.90%,202.2MiB / 1.941GiB,10.18%,46.5MB / 20.2MB,219MB / 16.4kB,44
4.41%,201.9MiB / 1.941GiB,10.16%,46.8MB / 20.3MB,223MB / 16.4kB,44
45.74%,203.3MiB / 1.941GiB,10.23%,48MB / 20.8MB,232MB / 16.4kB,44
20.36%,202.2MiB / 1.941GiB,10.18%,48.8MB / 21.2MB,239MB / 16.4kB,44
16.69%,205MiB / 1.941GiB,10.31%,49.7MB / 21.5MB,250MB / 16.4kB,44
9.02%,202MiB / 1.941GiB,10.17%,50.5MB / 21.9MB,256MB / 16.4kB,44
5.46%,203MiB / 1.941GiB,10.22%,51.4MB / 22.3MB,261MB / 16.4kB,44
19.62%,201.7MiB / 1.941GiB,10.15%,52.6MB / 22.8MB,272MB / 16.4kB,44
16.79%,200MiB / 1.941GiB,10.06%,53.2MB / 23.1MB,276MB / 16.4kB,43
20.14%,201MiB / 1.941GiB,10.12%,54.3MB / 23.5MB,289MB / 16.4kB,44
10.94%,201.4MiB / 1.941GiB,10.14%,54.9MB / 23.8MB,294MB / 16.4kB,44
6.27%,200.8MiB / 1.941GiB,10.10%,55.9MB / 24.2MB,298MB / 16.4kB,44
24.93%,200.6MiB / 1.941GiB,10.10%,57.1MB / 24.7MB,302MB / 16.4kB,44
7.53%,200.6MiB / 1.941GiB,10.09%,58.3MB / 25.2MB,310MB / 16.4kB,44
16.31%,201.4MiB / 1.941GiB,10.14%,59.2MB / 25.6MB,316MB / 16.4kB,44
4.88%,200.9MiB / 1.941GiB,10.11%,60MB / 25.9MB,324MB / 16.4kB,44
15.76%,200.7MiB / 1.941GiB,10.10%,60.9MB / 26.3MB,334MB / 16.4kB,44
23.65%,201.1MiB / 1.941GiB,10.12%,61.9MB / 26.7MB,351MB / 16.4kB,44
12.45%,200.1MiB / 1.941GiB,10.07%,63.1MB / 27.3MB,356MB / 16.4kB,44
23.95%,202.9MiB / 1.941GiB,10.21%,64.4MB / 27.8MB,364MB / 16.4kB,44
10.20%,200.8MiB / 1.941GiB,10.10%,65.1MB / 28.1MB,372MB / 16.4kB,44
11.56%,201MiB / 1.941GiB,10.11%,66.2MB / 28.6MB,376MB / 16.4kB,44
18.68%,200.6MiB / 1.941GiB,10.09%,67.7MB / 29.2MB,384MB / 16.4kB,44
2.73%,199.8MiB / 1.941GiB,10.06%,67.9MB / 29.3MB,385MB / 16.4kB,44
14.69%,204MiB / 1.941GiB,10.27%,69.3MB / 29.9MB,398MB / 16.4kB,44
3.62%,200.7MiB / 1.941GiB,10.10%,70.3MB / 30.3MB,402MB / 16.4kB,44
6.20%,200.8MiB / 1.941GiB,10.10%,70.9MB / 30.6MB,405MB / 16.4kB,44
46.92%,203.1MiB / 1.941GiB,10.22%,72.5MB / 31.2MB,427MB / 16.4kB,44
23.90%,202.1MiB / 1.941GiB,10.17%,73.7MB / 31.8MB,439MB / 16.4kB,44
4.18%,201.1MiB / 1.941GiB,10.12%,74.5MB / 32.1MB,443MB / 16.4kB,44
19.98%,200.7MiB / 1.941GiB,10.10%,75.8MB / 32.7MB,449MB / 16.4kB,44
6.16%,201.9MiB / 1.941GiB,10.16%,76.8MB / 33.1MB,455MB / 16.4kB,44
21.12%,202.6MiB / 1.941GiB,10.20%,78.1MB / 33.6MB,474MB / 16.4kB,44
11.37%,200.6MiB / 1.941GiB,10.10%,78.9MB / 34MB,479MB / 16.4kB,44
13.86%,202.6MiB / 1.941GiB,10.19%,80MB / 34.4MB,487MB / 16.4kB,44
10.89%,201MiB / 1.941GiB,10.11%,80.9MB / 34.8MB,492MB / 16.4kB,44
28.08%,199MiB / 1.941GiB,10.01%,82.1MB / 35.4MB,945MB / 16.4kB,44
0.33%,200.1MiB / 1.941GiB,10.07%,82.1MB / 35.4MB,950MB / 16.4kB,44
52.82%,200.7MiB / 1.941GiB,10.10%,82.1MB / 35.4MB,951MB / 16.4kB,45
2.10%,200.8MiB / 1.941GiB,10.10%,82.1MB / 35.4MB,951MB / 16.4kB,45
27.41%,201MiB / 1.941GiB,10.11%,82.1MB / 35.4MB,951MB / 16.4kB,45
52.54%,201.4MiB / 1.941GiB,10.14%,82.1MB / 35.4MB,951MB / 16.4kB,45
26.56%,202.6MiB / 1.941GiB,10.19%,82.1MB / 35.4MB,951MB / 16.4kB,45
5.41%,202.9MiB / 1.941GiB,10.21%,82.1MB / 35.4MB,951MB / 16.4kB,45
11.23%,202.8MiB / 1.941GiB,10.21%,82.1MB / 35.4MB,951MB / 16.4kB,44
39.46%,203MiB / 1.941GiB,10.22%,82.2MB / 35.4MB,951MB / 16.4kB,45
4.54%,202.4MiB / 1.941GiB,10.18%,82.2MB / 35.4MB,951MB / 16.4kB,45
10.02%,202.5MiB / 1.941GiB,10.19%,82.2MB / 35.4MB,951MB / 16.4kB,45
39.69%,202.6MiB / 1.941GiB,10.20%,82.2MB / 35.4MB,951MB / 16.4kB,45
8.48%,202.6MiB / 1.941GiB,10.20%,82.3MB / 35.5MB,951MB / 16.4kB,45
1.84%,202.6MiB / 1.941GiB,10.20%,82.3MB / 35.5MB,951MB / 16.4kB,45
9.73%,202.9MiB / 1.941GiB,10.21%,82.3MB / 35.5MB,951MB / 16.4kB,45
3.18%,202.8MiB / 1.941GiB,10.20%,82.4MB / 35.5MB,951MB / 16.4kB,45
5.72%,202.9MiB / 1.941GiB,10.21%,82.4MB / 35.6MB,951MB / 16.4kB,45
20.68%,202.9MiB / 1.941GiB,10.21%,82.5MB / 35.6MB,951MB / 16.4kB,45
1.81%,202.9MiB / 1.941GiB,10.21%,82.6MB / 35.6MB,951MB / 16.4kB,45
4.67%,202.9MiB / 1.941GiB,10.21%,82.7MB / 35.7MB,951MB / 16.4kB,45
10.16%,202.9MiB / 1.941GiB,10.21%,82.8MB / 35.7MB,951MB / 16.4kB,45
1.90%,202.6MiB / 1.941GiB,10.20%,82.8MB / 35.7MB,951MB / 16.4kB,45
7.79%,202.7MiB / 1.941GiB,10.20%,83MB / 35.8MB,951MB / 16.4kB,45
2.76%,202.2MiB / 1.941GiB,10.18%,83.1MB / 35.8MB,951MB / 16.4kB,45
4.15%,202.4MiB / 1.941GiB,10.19%,83.2MB / 35.9MB,951MB / 16.4kB,45
28.00%,202.5MiB / 1.941GiB,10.19%,83.4MB / 36MB,951MB / 16.4kB,45
9.76%,202.3MiB / 1.941GiB,10.18%,83.5MB / 36MB,951MB / 16.4kB,45
4.77%,202.3MiB / 1.941GiB,10.18%,83.6MB / 36.1MB,951MB / 16.4kB,45
8.74%,202.3MiB / 1.941GiB,10.18%,83.8MB / 36.2MB,951MB / 16.4kB,45
3.37%,202.2MiB / 1.941GiB,10.17%,83.9MB / 36.2MB,951MB / 16.4kB,45
5.16%,202.1MiB / 1.941GiB,10.17%,84.1MB / 36.3MB,951MB / 16.4kB,44
5.17%,202.1MiB / 1.941GiB,10.17%,84.3MB / 36.4MB,951MB / 16.4kB,44
1.99%,205.4MiB / 1.941GiB,10.34%,84.5MB / 36.5MB,955MB / 16.4kB,45
7.88%,205.4MiB / 1.941GiB,10.34%,84.7MB / 36.6MB,955MB / 16.4kB,45
3.44%,205MiB / 1.941GiB,10.32%,84.9MB / 36.7MB,955MB / 16.4kB,44
7.58%,205MiB / 1.941GiB,10.32%,85MB / 36.7MB,955MB / 16.4kB,44
8.83%,204.6MiB / 1.941GiB,10.30%,85.3MB / 36.8MB,955MB / 16.4kB,44
3.65%,204.6MiB / 1.941GiB,10.30%,85.5MB / 36.9MB,955MB / 16.4kB,44
9.61%,204.6MiB / 1.941GiB,10.30%,85.6MB / 37MB,955MB / 16.4kB,44
26.93%,204.8MiB / 1.941GiB,10.31%,86MB / 37.2MB,955MB / 16.4kB,45
2.10%,204.9MiB / 1.941GiB,10.31%,86.2MB / 37.3MB,955MB / 16.4kB,45
17.26%,204.9MiB / 1.941GiB,10.31%,86.3MB / 37.3MB,955MB / 16.4kB,45
5.04%,204.9MiB / 1.941GiB,10.31%,86.6MB / 37.4MB,955MB / 16.4kB,45
4.46%,205MiB / 1.941GiB,10.31%,87MB / 37.6MB,955MB / 16.4kB,45
8.98%,205MiB / 1.941GiB,10.31%,87.2MB / 37.7MB,955MB / 16.4kB,45
8.12%,205MiB / 1.941GiB,10.31%,87.5MB / 37.8MB,955MB / 16.4kB,45
10.33%,204.9MiB / 1.941GiB,10.31%,87.7MB / 37.9MB,955MB / 16.4kB,45
1.87%,204.6MiB / 1.941GiB,10.29%,88MB / 38MB,955MB / 16.4kB,45
6.36%,204.5MiB / 1.941GiB,10.29%,88.4MB / 38.2MB,955MB / 16.4kB,45
4.67%,204.4MiB / 1.941GiB,10.29%,88.6MB / 38.3MB,955MB / 16.4kB,44
8.36%,204.5MiB / 1.941GiB,10.29%,89MB / 38.5MB,955MB / 16.4kB,45
7.51%,204.5MiB / 1.941GiB,10.29%,89.3MB / 38.6MB,955MB / 16.4kB,45
3.24%,204.5MiB / 1.941GiB,10.29%,89.6MB / 38.8MB,955MB / 16.4kB,45
4.29%,204.4MiB / 1.941GiB,10.29%,89.9MB / 38.9MB,955MB / 16.4kB,44
17.10%,204.5MiB / 1.941GiB,10.29%,90.3MB / 39MB,955MB / 16.4kB,45
10.82%,204.5MiB / 1.941GiB,10.29%,90.7MB / 39.2MB,955MB / 16.4kB,45
3.35%,204.5MiB / 1.941GiB,10.29%,90.9MB / 39.3MB,955MB / 16.4kB,45
13.42%,205.5MiB / 1.941GiB,10.34%,91.5MB / 39.6MB,956MB / 16.4kB,45
6.37%,205.4MiB / 1.941GiB,10.34%,91.7MB / 39.7MB,956MB / 16.4kB,45
9.56%,205.5MiB / 1.941GiB,10.34%,92.1MB / 39.8MB,956MB / 16.4kB,45
1.78%,205.2MiB / 1.941GiB,10.32%,92.5MB / 40MB,956MB / 16.4kB,45
3.45%,205.1MiB / 1.941GiB,10.32%,92.8MB / 40.2MB,956MB / 16.4kB,45
