CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
8.85%,251.5MiB / 1.941GiB,12.66%,298kB / 762kB,63.2MB / 24.6kB,52
50.10%,251.3MiB / 1.941GiB,12.64%,306kB / 784kB,63.2MB / 24.6kB,52
1.05%,250.9MiB / 1.941GiB,12.62%,309kB / 794kB,63.2MB / 24.6kB,52
8.80%,251.1MiB / 1.941GiB,12.63%,318kB / 817kB,63.2MB / 24.6kB,52
10.80%,251.2MiB / 1.941GiB,12.64%,322kB / 828kB,63.2MB / 24.6kB,52
4.19%,251.1MiB / 1.941GiB,12.64%,326kB / 841kB,63.2MB / 24.6kB,52
15.54%,252.5MiB / 1.941GiB,12.70%,333kB / 859kB,64.7MB / 24.6kB,52
22.65%,252.4MiB / 1.941GiB,12.70%,338kB / 876kB,64.7MB / 24.6kB,52
1.07%,252.3MiB / 1.941GiB,12.70%,341kB / 881kB,64.8MB / 24.6kB,52
16.45%,252.5MiB / 1.941GiB,12.71%,356kB / 905kB,64.8MB / 24.6kB,52
6.79%,252.6MiB / 1.941GiB,12.71%,363kB / 924kB,64.9MB / 24.6kB,52
11.75%,259.1MiB / 1.941GiB,13.04%,368kB / 937kB,69.7MB / 24.6kB,52
5.16%,258.7MiB / 1.941GiB,13.02%,376kB / 959kB,69.7MB / 24.6kB,52
8.35%,259.1MiB / 1.941GiB,13.04%,384kB / 981kB,69.9MB / 24.6kB,52
4.20%,259.1MiB / 1.941GiB,13.04%,387kB / 991kB,70MB / 24.6kB,52
4.07%,258.8MiB / 1.941GiB,13.02%,394kB / 1.01MB,70MB / 24.6kB,52
5.38%,259MiB / 1.941GiB,13.03%,402kB / 1.03MB,70MB / 24.6kB,52
3.73%,259.1MiB / 1.941GiB,13.04%,407kB / 1.04MB,70MB / 24.6kB,52
5.22%,259.2MiB / 1.941GiB,13.04%,414kB / 1.06MB,70MB / 24.6kB,52
8.69%,259.1MiB / 1.941GiB,13.04%,420kB / 1.08MB,70MB / 24.6kB,52
8.06%,259.1MiB / 1.941GiB,13.04%,428kB / 1.1MB,70MB / 24.6kB,52
5.51%,259.3MiB / 1.941GiB,13.05%,434kB / 1.12MB,70MB / 24.6kB,52
6.82%,259.1MiB / 1.941GiB,13.04%,441kB / 1.14MB,70.1MB / 24.6kB,52
3.75%,259.1MiB / 1.941GiB,13.04%,449kB / 1.16MB,70.1MB / 24.6kB,52
5.13%,259.1MiB / 1.941GiB,13.04%,456kB / 1.18MB,70.1MB / 24.6kB,52
7.13%,259.1MiB / 1.941GiB,13.04%,462kB / 1.19MB,70.1MB / 24.6kB,52
5.22%,259.2MiB / 1.941GiB,13.04%,470kB / 1.21MB,70.1MB / 24.6kB,52
2.16%,259.2MiB / 1.941GiB,13.04%,476kB / 1.23MB,70.1MB / 24.6kB,52
5.58%,259.2MiB / 1.941GiB,13.04%,484kB / 1.25MB,70.1MB / 24.6kB,52
6.28%,259.3MiB / 1.941GiB,13.05%,490kB / 1.27MB,70.1MB / 24.6kB,52
6.77%,259.4MiB / 1.941GiB,13.05%,497kB / 1.29MB,70.1MB / 24.6kB,52
3.41%,260.5MiB / 1.941GiB,13.11%,507kB / 1.32MB,70.3MB / 24.6kB,52
2.66%,260.6MiB / 1.941GiB,13.11%,513kB / 1.33MB,70.3MB / 24.6kB,52
6.74%,260.7MiB / 1.941GiB,13.12%,520kB / 1.35MB,70.3MB / 24.6kB,52
8.28%,260.7MiB / 1.941GiB,13.12%,527kB / 1.37MB,70.4MB / 24.6kB,52
13.02%,260.1MiB / 1.941GiB,13.09%,537kB / 1.4MB,70.9MB / 24.6kB,52
9.26%,260.8MiB / 1.941GiB,13.12%,545kB / 1.42MB,72.4MB / 24.6kB,52
0.77%,259.9MiB / 1.941GiB,13.08%,548kB / 1.43MB,72.4MB / 24.6kB,52
13.31%,260.5MiB / 1.941GiB,13.11%,557kB / 1.45MB,75.7MB / 24.6kB,52
12.74%,260.8MiB / 1.941GiB,13.12%,569kB / 1.48MB,80.6MB / 24.6kB,52
0.90%,260.5MiB / 1.941GiB,13.11%,572kB / 1.49MB,80.8MB / 24.6kB,52
15.12%,262.7MiB / 1.941GiB,13.22%,582kB / 1.52MB,83.6MB / 24.6kB,52
42.25%,264.7MiB / 1.941GiB,13.32%,591kB / 1.55MB,83.8MB / 24.6kB,52
3.64%,263.2MiB / 1.941GiB,13.24%,593kB / 1.55MB,83.8MB / 24.6kB,52
4.47%,257.8MiB / 1.941GiB,12.97%,606kB / 1.59MB,84MB / 24.6kB,52
10.10%,258.4MiB / 1.941GiB,13.00%,616kB / 1.61MB,84.5MB / 24.6kB,52
3.25%,258.6MiB / 1.941GiB,13.01%,622kB / 1.63MB,85.6MB / 24.6kB,52
4.26%,258.3MiB / 1.941GiB,13.00%,631kB / 1.65MB,85.7MB / 24.6kB,52
2.00%,258.1MiB / 1.941GiB,12.99%,637kB / 1.67MB,85.9MB / 24.6kB,52
11.80%,258.1MiB / 1.941GiB,12.99%,646kB / 1.69MB,86.8MB / 24.6kB,52
10.43%,258.3MiB / 1.941GiB,13.00%,656kB / 1.72MB,88.3MB / 24.6kB,52
5.05%,258.3MiB / 1.941GiB,13.00%,662kB / 1.74MB,89.1MB / 24.6kB,52
2.17%,258.2MiB / 1.941GiB,12.99%,672kB / 1.77MB,89.1MB / 24.6kB,52
4.61%,258.2MiB / 1.941GiB,12.99%,681kB / 1.79MB,90.6MB / 24.6kB,52
4.99%,258.6MiB / 1.941GiB,13.01%,689kB / 1.81MB,90.9MB / 24.6kB,52
6.10%,258.2MiB / 1.941GiB,12.99%,696kB / 1.83MB,91.1MB / 24.6kB,52
4.03%,258.2MiB / 1.941GiB,12.99%,704kB / 1.86MB,91.3MB / 24.6kB,52
2.91%,258MiB / 1.941GiB,12.98%,713kB / 1.88MB,91.6MB / 24.6kB,52
2.63%,257.9MiB / 1.941GiB,12.98%,719kB / 1.9MB,91.6MB / 24.6kB,52
1.96%,258.2MiB / 1.941GiB,12.99%,723kB / 1.91MB,92MB / 24.6kB,52
16.51%,258.7MiB / 1.941GiB,13.02%,736kB / 1.95MB,93.9MB / 24.6kB,52
4.53%,258.4MiB / 1.941GiB,13.00%,745kB / 1.97MB,94.2MB / 24.6kB,52
2.59%,258.3MiB / 1.941GiB,13.00%,754kB / 1.99MB,95.2MB / 24.6kB,52
6.57%,258.4MiB / 1.941GiB,13.00%,763kB / 2.02MB,95.5MB / 24.6kB,52
5.35%,258.2MiB / 1.941GiB,12.99%,772kB / 2.04MB,95.6MB / 24.6kB,52
2.14%,258.1MiB / 1.941GiB,12.99%,777kB / 2.05MB,96.9MB / 24.6kB,52
6.10%,258MiB / 1.941GiB,12.98%,788kB / 2.08MB,97.9MB / 24.6kB,52
6.33%,258.5MiB / 1.941GiB,13.01%,794kB / 2.1MB,98.6MB / 24.6kB,52
4.73%,258.4MiB / 1.941GiB,13.00%,801kB / 2.12MB,98.9MB / 24.6kB,52
12.90%,258.3MiB / 1.941GiB,13.00%,814kB / 2.15MB,99.2MB / 24.6kB,52
4.32%,258.1MiB / 1.941GiB,12.99%,822kB / 2.18MB,99.5MB / 24.6kB,52
2.32%,258.3MiB / 1.941GiB,13.00%,830kB / 2.2MB,101MB / 24.6kB,52
3.76%,257.8MiB / 1.941GiB,12.97%,840kB / 2.22MB,102MB / 24.6kB,52
4.69%,258.1MiB / 1.941GiB,12.99%,848kB / 2.24MB,103MB / 24.6kB,52
2.04%,258.3MiB / 1.941GiB,13.00%,852kB / 2.25MB,104MB / 24.6kB,52
11.63%,259.5MiB / 1.941GiB,13.06%,864kB / 2.29MB,109MB / 24.6kB,52
2.23%,259MiB / 1.941GiB,13.03%,869kB / 2.3MB,109MB / 24.6kB,52
3.27%,259.4MiB / 1.941GiB,13.06%,876kB / 2.32MB,111MB / 24.6kB,52
4.79%,259.7MiB / 1.941GiB,13.07%,888kB / 2.35MB,112MB / 24.6kB,52
69.30%,270.4MiB / 1.941GiB,13.61%,896kB / 2.37MB,115MB / 24.6kB,52
4.86%,259.1MiB / 1.941GiB,13.04%,903kB / 2.39MB,120MB / 24.6kB,52
3.92%,258.3MiB / 1.941GiB,13.00%,918kB / 2.43MB,122MB / 24.6kB,52
1.16%,258.1MiB / 1.941GiB,12.99%,920kB / 2.44MB,122MB / 24.6kB,52
10.84%,259.4MiB / 1.941GiB,13.05%,927kB / 2.46MB,131MB / 24.6kB,52
13.94%,258.4MiB / 1.941GiB,13.00%,943kB / 2.5MB,136MB / 24.6kB,52
