CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
9.25%,260.7MiB / 1.941GiB,13.12%,1.53MB / 9.57MB,403MB / 28.7kB,45
2.39%,260.8MiB / 1.941GiB,13.12%,1.54MB / 9.58MB,403MB / 28.7kB,45
23.88%,262.7MiB / 1.941GiB,13.22%,1.54MB / 9.59MB,406MB / 28.7kB,45
3.32%,262.5MiB / 1.941GiB,13.21%,1.55MB / 9.74MB,406MB / 28.7kB,45
3.63%,262.3MiB / 1.941GiB,13.20%,1.56MB / 9.75MB,406MB / 28.7kB,45
2.66%,262.3MiB / 1.941GiB,13.20%,1.57MB / 9.76MB,406MB / 28.7kB,45
3.90%,262.3MiB / 1.941GiB,13.20%,1.58MB / 9.77MB,406MB / 28.7kB,45
0.79%,262.3MiB / 1.941GiB,13.20%,1.58MB / 9.92MB,406MB / 28.7kB,45
1.30%,262.3MiB / 1.941GiB,13.20%,1.59MB / 10.1MB,406MB / 28.7kB,45
40.93%,262.5MiB / 1.941GiB,13.21%,1.6MB / 10.1MB,406MB / 28.7kB,45
4.66%,262.4MiB / 1.941GiB,13.21%,1.61MB / 10.3MB,406MB / 28.7kB,45
3.81%,262.5MiB / 1.941GiB,13.21%,1.62MB / 10.6MB,406MB / 28.7kB,45
1.31%,262.5MiB / 1.941GiB,13.21%,1.63MB / 10.6MB,406MB / 28.7kB,45
1.07%,262.5MiB / 1.941GiB,13.21%,1.63MB / 10.6MB,406MB / 28.7kB,45
9.29%,262.2MiB / 1.941GiB,13.20%,1.64MB / 10.8MB,406MB / 28.7kB,45
1.09%,262.3MiB / 1.941GiB,13.20%,1.65MB / 10.8MB,406MB / 28.7kB,45
3.58%,262.2MiB / 1.941GiB,13.20%,1.66MB / 10.8MB,406MB / 28.7kB,45
2.11%,262.2MiB / 1.941GiB,13.20%,1.67MB / 10.8MB,406MB / 28.7kB,45
1.68%,262.2MiB / 1.941GiB,13.20%,1.67MB / 10.8MB,406MB / 28.7kB,45
1.41%,262.2MiB / 1.941GiB,13.20%,1.68MB / 11MB,406MB / 28.7kB,45
1.40%,262.3MiB / 1.941GiB,13.20%,1.69MB / 11.1MB,406MB / 28.7kB,45
3.85%,262.3MiB / 1.941GiB,13.20%,1.7MB / 11.3MB,406MB / 28.7kB,45
4.79%,262.3MiB / 1.941GiB,13.20%,1.71MB / 11.5MB,406MB / 28.7kB,45
2.19%,262.3MiB / 1.941GiB,13.20%,1.72MB / 11.7MB,406MB / 28.7kB,45
1.81%,262.4MiB / 1.941GiB,13.20%,1.72MB / 11.7MB,406MB / 28.7kB,45
1.72%,262.4MiB / 1.941GiB,13.20%,1.73MB / 11.8MB,406MB / 28.7kB,45
4.85%,262.4MiB / 1.941GiB,13.20%,1.75MB / 11.9MB,406MB / 28.7kB,45
2.99%,262.4MiB / 1.941GiB,13.20%,1.75MB / 11.9MB,406MB / 28.7kB,45
1.85%,262.1MiB / 1.941GiB,13.19%,1.76MB / 11.9MB,406MB / 28.7kB,45
4.24%,262.1MiB / 1.941GiB,13.19%,1.76MB / 11.9MB,406MB / 28.7kB,45
1.14%,262.1MiB / 1.941GiB,13.19%,1.77MB / 11.9MB,406MB / 28.7kB,45
0.89%,262.1MiB / 1.941GiB,13.19%,1.77MB / 11.9MB,406MB / 28.7kB,45
2.09%,262.1MiB / 1.941GiB,13.19%,1.78MB / 11.9MB,406MB / 28.7kB,45
7.36%,262.1MiB / 1.941GiB,13.19%,1.8MB / 12.2MB,406MB / 28.7kB,45
15.15%,262.6MiB / 1.941GiB,13.22%,1.81MB / 12.6MB,406MB / 28.7kB,45
3.40%,262.7MiB / 1.941GiB,13.22%,1.82MB / 12.6MB,406MB / 28.7kB,45
17.65%,262.8MiB / 1.941GiB,13.22%,1.82MB / 12.6MB,406MB / 28.7kB,45
2.69%,262.8MiB / 1.941GiB,13.23%,1.83MB / 12.8MB,406MB / 28.7kB,45
5.50%,262.9MiB / 1.941GiB,13.23%,1.84MB / 13MB,406MB / 28.7kB,45
